Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Access Type,Source,EID
"Morgan K., Azzani M., Khaing S.L., Wong Y.-L., Su T.T.",55341992900;56392912100;24070863800;7403041841;57208394809;,Acceptability of Women Self-Sampling versus Clinician-Collected Samples for HPV DNA Testing: A Systematic Review,2019,Journal of Lower Genital Tract Disease,23,3,,193,199,,,10.1097/LGT.0000000000000476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067552709&doi=10.1097%2fLGT.0000000000000476&partnerID=40&md5=66c3357e02f6db627324b2a74eb9534c,"Perdana University Royal College of Surg., Ireland School of Medicine, Kuala Lumpur, Malaysia; Department of Psychology, Royal College of Surg. in Ireland, Dublin, Ireland; Community Medicine Department, Faculty of Medicine, MAHSA University, Saujana Putra Campus, Selangor, Malaysia; Department of Obstetrics and Gynaecology, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; Centre for Population Health (CePH), Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; South East Asia Community Observatory (SEACO), Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Subang Jaya, Malaysia","Morgan, K., Perdana University Royal College of Surg., Ireland School of Medicine, Kuala Lumpur, Malaysia, Department of Psychology, Royal College of Surg. in Ireland, Dublin, Ireland; Azzani, M., Community Medicine Department, Faculty of Medicine, MAHSA University, Saujana Putra Campus, Selangor, Malaysia; Khaing, S.L., Department of Obstetrics and Gynaecology, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; Wong, Y.-L., Centre for Population Health (CePH), Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia; Su, T.T., Centre for Population Health (CePH), Department of Social and Preventive Medicine, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia, South East Asia Community Observatory (SEACO), Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Subang Jaya, Malaysia",,,Lippincott Williams and Wilkins,,,,,10892591,,JLGDF,30933030,Review,Final,,Scopus,2-s2.0-85067552709
"Chong C.T., Chiong M.-C., Ng J.-H., Lim M., Tran M.-V., Valera-Medina A., Chong W.W.F.",56962789000;56747557600;57208699609;57208670401;57209885482;56013526700;36914678600;,Oxygenated sunflower biodiesel: Spectroscopic and emissions quantification under reacting swirl spray conditions,2019,Energy,,,,804,813,,,10.1016/j.energy.2019.04.201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065486536&doi=10.1016%2fj.energy.2019.04.201&partnerID=40&md5=4fd335d688ce47239d7bdd9143d33fb8,"China-UK Low Carbon College, Shanghai Jiao Tong University, Lingang, Shanghai  201306, China; School of Mechanical Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia; Faculty of Engineering and Physical Sciences, University of Southampton Malaysia (UoSM), Iskandar Puteri, Johor  79200, Malaysia; UTM Centre for Low Carbon Transport in Cooperation with Imperial College London, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia; Biomass & Plasma Technologies, Renewable Energy & Green Technology, TNB Research Sdn. Bhd., Kajang, Selangor  43000, Malaysia; School of Engieering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; College of Physical Sciences and Engineering, Cardiff UniversityWales, United Kingdom","Chong, C.T., China-UK Low Carbon College, Shanghai Jiao Tong University, Lingang, Shanghai  201306, China; Chiong, M.-C., School of Mechanical Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia; Ng, J.-H., Faculty of Engineering and Physical Sciences, University of Southampton Malaysia (UoSM), Iskandar Puteri, Johor  79200, Malaysia, UTM Centre for Low Carbon Transport in Cooperation with Imperial College London, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia; Lim, M., Biomass & Plasma Technologies, Renewable Energy & Green Technology, TNB Research Sdn. Bhd., Kajang, Selangor  43000, Malaysia; Tran, M.-V., School of Engieering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Valera-Medina, A., College of Physical Sciences and Engineering, Cardiff UniversityWales, United Kingdom; Chong, W.W.F., School of Mechanical Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia, UTM Centre for Low Carbon Transport in Cooperation with Imperial College London, Universiti Teknologi Malaysia, Skudai, Johor  81310, Malaysia",,,Elsevier Ltd,,,,,3605442,,ENEYD,,Article,Final,,Scopus,2-s2.0-85065486536
"Ting C.Y., Ting R.S.-K., Lim C.J., King T.L., Ting H., Gerofi J.",57190884648;22959037200;57202376598;57208273406;56312440400;24495097000;,Pilot study on functional performance and acceptability of two new synthetic adhesive male condoms (Wondaleaf): a randomized cross-over trial,2019,Contraception,100,1,,65,71,,,10.1016/j.contraception.2019.02.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064328974&doi=10.1016%2fj.contraception.2019.02.013&partnerID=40&md5=0185ebb75731a4855b530fbd42849a4a,"Sarawak Research Society, Lot 56, Phase 5, Lorong Greenwood 21, Greenwood Park Batu 9 ½ Jalan Kuching-Serian, Kuching, Sarawak  94200, Malaysia; Institute of Borneo Studies, Universiti Malaysia Sarawak, Jalan Datuk Mohammad Musa, Kota Samarahan, Sarawak  94300, Malaysia; Monash University Malaysia, Jeffrey Cheah School of Medicine and Health Sciences, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Clinical Research Center, Sarawak General Hospital, Jalan Hospital, Kuching, Sarawak  93586, Malaysia; Pharmacy Department, Sarawak General Hospital, Jalan Hospital, Kuching, Sarawak  93586, Malaysia; Faculty of Hospitality and Tourism Management, UCSI University, Jalan Puncak Menara Gading, Taman Connaught, Muara Tebas Land District, Sejingkat, Kuching, Sarawak  93450, Malaysia; Enersol Pty Ltd, 235 Nelson St, Annandale, NSW  2038, Australia","Ting, C.Y., Sarawak Research Society, Lot 56, Phase 5, Lorong Greenwood 21, Greenwood Park Batu 9 ½ Jalan Kuching-Serian, Kuching, Sarawak  94200, Malaysia, Institute of Borneo Studies, Universiti Malaysia Sarawak, Jalan Datuk Mohammad Musa, Kota Samarahan, Sarawak  94300, Malaysia; Ting, R.S.-K., Monash University Malaysia, Jeffrey Cheah School of Medicine and Health Sciences, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Lim, C.J., Clinical Research Center, Sarawak General Hospital, Jalan Hospital, Kuching, Sarawak  93586, Malaysia; King, T.L., Clinical Research Center, Sarawak General Hospital, Jalan Hospital, Kuching, Sarawak  93586, Malaysia, Pharmacy Department, Sarawak General Hospital, Jalan Hospital, Kuching, Sarawak  93586, Malaysia; Ting, H., Sarawak Research Society, Lot 56, Phase 5, Lorong Greenwood 21, Greenwood Park Batu 9 ½ Jalan Kuching-Serian, Kuching, Sarawak  94200, Malaysia, Faculty of Hospitality and Tourism Management, UCSI University, Jalan Puncak Menara Gading, Taman Connaught, Muara Tebas Land District, Sejingkat, Kuching, Sarawak  93450, Malaysia; Gerofi, J., Enersol Pty Ltd, 235 Nelson St, Annandale, NSW  2038, Australia",,,Elsevier USA,,,,,107824,,CCPTA,30871936,Article,Final,,Scopus,2-s2.0-85064328974
"Ichimizu S., Watanabe H., Maeda H., Hamasaki K., Ikegami K., Chuang V.T.G., Kinoshita R., Nishida K., Shimizu T., Ishima Y., Ishida T., Seki T., Katsuki H., Futaki S., Otagiri M., Maruyama T.",57201211817;57201364614;36673461100;55540504500;57192869650;7006236644;56525005100;56879736000;35171592300;8703588800;57197704945;34572948800;57191567829;7006251158;7101824008;56948766600;,Cell-penetrating mechanism of intracellular targeting albumin: Contribution of macropinocytosis induction and endosomal escape,2019,Journal of Controlled Release,304,,,156,163,,,10.1016/j.jconrel.2019.05.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065581511&doi=10.1016%2fj.jconrel.2019.05.015&partnerID=40&md5=62b8896c69e7a2ad12f242b9c668ab53,"Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Center for Clinical Pharmaceutical Sciences, School of Pharmacy, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Department of Pharmacokinetics and Biopharmaceutics, Institute of Biomedical Sciences, Tokushima University, 1-78-1, Sho-machi, Tokushima, 770-8505, Japan; Department of Chemico-Pharmacological Sciences, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Institute for Chemical Research, Kyoto University, Uji, Kyoto, 611-0011, Japan; Faculty of Pharmaceutical Sciences and DDS Research Institute, Sojo University, 1-22-4 Ikeda, Nishi-ku, Kumamoto, 860-0082, Japan","Ichimizu, S., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Watanabe, H., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan, Center for Clinical Pharmaceutical Sciences, School of Pharmacy, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Maeda, H., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan, Center for Clinical Pharmaceutical Sciences, School of Pharmacy, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Hamasaki, K., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Ikegami, K., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Chuang, V.T.G., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Kinoshita, R., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Nishida, K., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Shimizu, T., Department of Pharmacokinetics and Biopharmaceutics, Institute of Biomedical Sciences, Tokushima University, 1-78-1, Sho-machi, Tokushima, 770-8505, Japan; Ishima, Y., Department of Pharmacokinetics and Biopharmaceutics, Institute of Biomedical Sciences, Tokushima University, 1-78-1, Sho-machi, Tokushima, 770-8505, Japan; Ishida, T., Department of Pharmacokinetics and Biopharmaceutics, Institute of Biomedical Sciences, Tokushima University, 1-78-1, Sho-machi, Tokushima, 770-8505, Japan; Seki, T., Department of Chemico-Pharmacological Sciences, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Katsuki, H., Department of Chemico-Pharmacological Sciences, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan; Futaki, S., Institute for Chemical Research, Kyoto University, Uji, Kyoto, 611-0011, Japan; Otagiri, M., Faculty of Pharmaceutical Sciences and DDS Research Institute, Sojo University, 1-22-4 Ikeda, Nishi-ku, Kumamoto, 860-0082, Japan; Maruyama, T., Department of Biopharmaceutics, Graduate School of Pharmaceutical Sciences, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan, Center for Clinical Pharmaceutical Sciences, School of Pharmacy, Kumamoto University, 5-1 Oe-honmachi, Chuo-ku, Kumamoto, 862-0973, Japan",,,Elsevier B.V.,,,,,1683659,,JCREE,31082432,Article,Final,,Scopus,2-s2.0-85065581511
"Anthoniappen J., Chang W.S., Ruiz F.M., Tu C.-S., Blaise C.T., Chen P.-Y., Chen C.-S., Mana-ay H.",56107628300;24358688000;57205629294;7402578767;57207863277;57020217900;8161114700;57205627383;,Electric field and temperature induced local polarization switching and piezoresponse in Bi 0.88 Sm 0.12 FeO 3 ceramics for nanoscale applications,2019,Journal of Alloys and Compounds,,,,587,596,,,10.1016/j.jallcom.2019.03.185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063113355&doi=10.1016%2fj.jallcom.2019.03.185&partnerID=40&md5=22c4392b67e70c6e479291942e143e8e,"Department of Physics, University of San Carlos, Talamban Campus, Cebu City, 6000, Philippines; Mechanical Engineering Discipline, School of Engineering, Monash University, Bandar Sunway, Selangor  47500, Malaysia; Department of Physics, Fu Jen Catholic University, New Taipei City, 24205, Taiwan; Department of Mechanical Engineering, Ming Chi University of Technology, New Taipei City, 24301, Taiwan; Department of Mechanical Engineering, Hwa Hsia University of Technology, New Taipei City, 23567, Taiwan; Department of Physics, Silliman University, Dumaguete City, 6200, Philippines","Anthoniappen, J., Department of Physics, University of San Carlos, Talamban Campus, Cebu City, 6000, Philippines; Chang, W.S., Mechanical Engineering Discipline, School of Engineering, Monash University, Bandar Sunway, Selangor  47500, Malaysia, Department of Mechanical Engineering, Ming Chi University of Technology, New Taipei City, 24301, Taiwan; Ruiz, F.M., Department of Physics, University of San Carlos, Talamban Campus, Cebu City, 6000, Philippines; Tu, C.-S., Department of Physics, Fu Jen Catholic University, New Taipei City, 24205, Taiwan; Blaise, C.T., Mechanical Engineering Discipline, School of Engineering, Monash University, Bandar Sunway, Selangor  47500, Malaysia; Chen, P.-Y., Department of Mechanical Engineering, Ming Chi University of Technology, New Taipei City, 24301, Taiwan; Chen, C.-S., Department of Mechanical Engineering, Hwa Hsia University of Technology, New Taipei City, 23567, Taiwan; Mana-ay, H., Department of Physics, Silliman University, Dumaguete City, 6200, Philippines",,,Elsevier Ltd,,,,,9258388,,JALCE,,Article,Final,,Scopus,2-s2.0-85063113355
"Kua K.P., Saw P.S., Lee S.W.H.",57191430415;56708597200;35201185800;,Attitudes towards deprescribing among multi-ethnic community-dwelling older patients and caregivers in Malaysia: a cross-sectional questionnaire study,2019,International Journal of Clinical Pharmacy,41,3,,793,803,,1,10.1007/s11096-019-00829-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064939712&doi=10.1007%2fs11096-019-00829-z&partnerID=40&md5=9f4146ad1cb682495a848376f6f784fb,"Department of Pharmacy, Petaling District Health Office, Ministry of Health, Petaling Jaya, Selangor  47301, Malaysia; School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Gerontechnology Laboratory, Global Asia, 21st Century (GA21) Platform, Monash University, Bandar Sunway, Selangor  47500, Malaysia; School of Pharmacy, Taylor’s University Lakeside Campus, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia","Kua, K.P., Department of Pharmacy, Petaling District Health Office, Ministry of Health, Petaling Jaya, Selangor  47301, Malaysia; Saw, P.S., School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia; Lee, S.W.H., School of Pharmacy, Monash University, Building 2, Level 5, Room 38, Jalan Lagoon Selatan, Bandar Sunway, Selangor  47500, Malaysia, Gerontechnology Laboratory, Global Asia, 21st Century (GA21) Platform, Monash University, Bandar Sunway, Selangor  47500, Malaysia, School of Pharmacy, Taylor’s University Lakeside Campus, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia",,,Springer Netherlands,,,,,22107703,,,31020599,Article,Final,,Scopus,2-s2.0-85064939712
"Katemake P., Radsamsong A., Dinet É., Heng C.W., Kuang Y.C., Kalavally V., Trémeau A.",8979384600;57208488330;6506427901;57208482874;56240456200;14031684600;6701598631;,Influence of LED-based assistive lighting solutions on the autonomous mobility of low vision people,2019,Building and Environment,157,,,172,184,,,10.1016/j.buildenv.2019.04.026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064889205&doi=10.1016%2fj.buildenv.2019.04.026&partnerID=40&md5=89891a8fd11d439b87c988e2b957b5c7,"Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France; Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; School of Engineering, Faculty of Science & Engineering, University of Waikato, New Zealand","Katemake, P., Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Radsamsong, A., Department of Imaging and Printing Technology, Faculty of Science, Chulalongkorn University, Thailand; Dinet, É., Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France; Heng, C.W., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; Kuang, Y.C., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia, School of Engineering, Faculty of Science & Engineering, University of Waikato, New Zealand; Kalavally, V., Department of Electrical and Computer Systems Engineering, Monash University, Malaysia; Trémeau, A., Univ Lyon, UJM Saint-Étienne, CNRS, Laboratoire Hubert Curien UMR 5516, France",,,Elsevier Ltd,,,,,3601323,,BUEND,,Article,Final,,Scopus,2-s2.0-85064889205
"Raghunandan M.E., Sriraam A.S., Beng Ti T., Kodikara J.",55757784826;57120167200;57189360136;15033530200;,Effect of palm oil on the basic geotechnical properties of kaolin,2019,Geomechanics and Engineering,18,2,,179,188,,,10.12989/gae.2019.18.2.179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068666454&doi=10.12989%2fgae.2019.18.2.179&partnerID=40&md5=b0181a95aa653602b44a752380a25fc3,"Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Department of Civil Engineering, Monash University, Clayton, VIC  3800, Australia; Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia","Raghunandan, M.E., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Sriraam, A.S., Civil Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Beng Ti, T., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia, Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Kodikara, J., Department of Civil Engineering, Monash University, Clayton, VIC  3800, Australia",,,Techno Press,,,,,2005307X,,,,Article,Final,,Scopus,2-s2.0-85068666454
"Khan G., Khan F.",57014516300;57014131000;,Ascertaining the “Halalness” of restaurants – scale development and validation,2019,Journal of Islamic Marketing,10,2,,426,439,,,10.1108/JIMA-04-2018-0067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058099113&doi=10.1108%2fJIMA-04-2018-0067&partnerID=40&md5=f64471bf26c8404761b0eb55755e4100,"Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia; Business School, University College Birmingham, Birmingham, United Kingdom","Khan, G., Department of Marketing, Monash University Malaysia, Bandar Sunway, Malaysia; Khan, F., Business School, University College Birmingham, Birmingham, United Kingdom",,,Emerald Group Publishing Ltd.,,,,,17590833,,,,Article,Final,,Scopus,2-s2.0-85058099113
"Choo B.K.M., Kundap U.P., Johan Arief M.F.B., Kumari Y., Yap J.L., Wong C.P., Othman I., Shaikh M.F.",57200794775;57192265083;57207583695;57191075226;57207584488;57207576818;7003651966;37034995600;,Effect of newer anti-epileptic drugs (AEDs) on the cognitive status in pentylenetetrazol induced seizures in a zebrafish model,2019,Progress in Neuro-Psychopharmacology and Biological Psychiatry,92,,,483,493,,,10.1016/j.pnpbp.2019.02.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062594743&doi=10.1016%2fj.pnpbp.2019.02.014&partnerID=40&md5=976b26fb6faf9008eee1c27cdac21368,"Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; MBBS Young Scholars Program, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Royal College of Surgeons in Ireland School of Medicine, Perdana University, Kuala Lumpur, Malaysia","Choo, B.K.M., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Kundap, U.P., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Johan Arief, M.F.B., MBBS Young Scholars Program, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Kumari, Y., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Yap, J.L., School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Wong, C.P., Royal College of Surgeons in Ireland School of Medicine, Perdana University, Kuala Lumpur, Malaysia; Othman, I., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia; Shaikh, M.F., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Malaysia",,,Elsevier Inc.,,,,,2785846,,PNPPD,30844417,Article,Final,,Scopus,2-s2.0-85062594743
"Saleem H., Zengin G., Ahmad I., Lee J.T.B., Htar T.T., Mahomoodally F.M., Naidu R., Ahemad N.",56735957200;8411629800;56366368100;57207911047;6503856325;57193732515;7102091780;57201095217;,Multidirectional insights into the biochemical and toxicological properties of Bougainvillea glabra (Choisy.) aerial parts: A functional approach for bioactive compounds,2019,Journal of Pharmaceutical and Biomedical Analysis,170,,,132,138,,,10.1016/j.jpba.2019.03.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063187859&doi=10.1016%2fj.jpba.2019.03.027&partnerID=40&md5=0dd7be68944c8a2a1ad3ff9577c1fc84,"School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Global Asia in The 21st Century (GA21) Multidisciplinary Research Platform, Monash University, Malaysia","Saleem, H., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, 54000, Pakistan; Zengin, G., Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Ahmad, I., Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; Lee, J.T.B., School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Htar, T.T., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Mahomoodally, F.M., Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; Naidu, R., Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia; Ahemad, N., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor Darul Ehsan  47500, Malaysia, Global Asia in The 21st Century (GA21) Multidisciplinary Research Platform, Monash University, Malaysia",,,Elsevier B.V.,,,,,7317085,,JPBAD,30921647,Article,Final,,Scopus,2-s2.0-85063187859
"Tan J.W., Zahidi N.F.W., Kow A.S.F., Soo K.-M., Shaari K., Israf D.A., Chee H.-Y., Tham C.L.",55508511400;57209332143;57203680952;57189443022;6602349732;6603879550;7004224161;57194376955;,Mast cell stabilizing effect of a geranyl acetophenone in dengue virus infection using in vitro model of DENV3-induced RBL-2H3 cells,2019,Bioscience Reports,39,6, BSR20181273,,,,,10.1042/BSR20181273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067370826&doi=10.1042%2fBSR20181273&partnerID=40&md5=3d723c5bcdd219035a9d482e2d5404ec,"Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, Serdang, 43400, Malaysia; School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor, 47500, Malaysia","Tan, J.W., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia, School of Science, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Subang Jaya, Selangor, 47500, Malaysia; Zahidi, N.F.W., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Kow, A.S.F., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Soo, K.-M., Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Shaari, K., Department of Chemistry, Faculty of Science, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Israf, D.A., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Chee, H.-Y., Department of Medical Microbiology and Parasitology, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia; Tham, C.L., Department of Biomedical Science, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Serdang, 43400, Malaysia",,,Portland Press Ltd,,,,,1448463,,BRPTD,31110077,Article,Final,Open Access,Scopus,2-s2.0-85067370826
