Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Jobson L., Whittles N., Tsecoutanis E., Raj S., Yew R.Y., Haque S.","23982678200;57208908923;57208901808;57208908176;57202039868;7102339148;","Investigating the mediating role of self-construal on the relationship between cultural group (Malay and Australian) and the characteristics and functional use of autobiographical memory",2019,"Memory","27","8",,"1054","1062",,,"10.1080/09658211.2019.1619776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066093310&doi=10.1080%2f09658211.2019.1619776&partnerID=40&md5=cbf527853edab389370aa73b2baa47ce","School of Psychological Sciences, Monash University and Monash Institute of Cognitive and Clinical Neurosciences, Melbourne, Australia; Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Bandar Sunway, Malaysia","Jobson, L., School of Psychological Sciences, Monash University and Monash Institute of Cognitive and Clinical Neurosciences, Melbourne, Australia; Whittles, N., School of Psychological Sciences, Monash University and Monash Institute of Cognitive and Clinical Neurosciences, Melbourne, Australia; Tsecoutanis, E., School of Psychological Sciences, Monash University and Monash Institute of Cognitive and Clinical Neurosciences, Melbourne, Australia; Raj, S., Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Bandar Sunway, Malaysia; Yew, R.Y., School of Psychological Sciences, Monash University and Monash Institute of Cognitive and Clinical Neurosciences, Melbourne, Australia; Haque, S., Jeffrey Cheah School of Medicine and Health Sciences, Monash University, Bandar Sunway, Malaysia",Article,"Final",,Scopus,2-s2.0-85066093310
"Paudel Y.N., Angelopoulou E., Piperi C., Balasubramaniam V.R.M.T., Othman I., Shaikh M.F.","57193202574;57190245158;55933526500;38061132200;7003651966;37034995600;","Enlightening the role of high mobility group box 1 (HMGB1) in inflammation: Updates on receptor signalling",2019,"European Journal of Pharmacology","858",, 172487,"","",,,"10.1016/j.ejphar.2019.172487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067896907&doi=10.1016%2fj.ejphar.2019.172487&partnerID=40&md5=4cfb0a7fa444f36e3923b3e85af0b6db","Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar SunwaySelangor, Malaysia; Department of Biological Chemistry, Medical School, National and Kapodistrian University of Athens, Athens, Greece","Paudel, Y.N., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar SunwaySelangor, Malaysia; Angelopoulou, E., Department of Biological Chemistry, Medical School, National and Kapodistrian University of Athens, Athens, Greece; Piperi, C., Department of Biological Chemistry, Medical School, National and Kapodistrian University of Athens, Athens, Greece; Balasubramaniam, V.R.M.T., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar SunwaySelangor, Malaysia; Othman, I., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar SunwaySelangor, Malaysia; Shaikh, M.F., Neuropharmacology Research Laboratory, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar SunwaySelangor, Malaysia",Review,"Final",,Scopus,2-s2.0-85067896907
"Nesadurai H.E.S.","7801450069;","Transnational Private Governance as a Developmental Driver in Southeast Asia: The Case of Sustainable Palm Oil Standards in Indonesia and Malaysia",2019,"Journal of Development Studies","55","9",,"1892","1908",,,"10.1080/00220388.2018.1536262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056156321&doi=10.1080%2f00220388.2018.1536262&partnerID=40&md5=a41ad8e70bfa8afba0a21ca8bcb6534b","School of Arts and Social Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia","Nesadurai, H.E.S., School of Arts and Social Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85056156321
"Sim C.S.F., Yue C.S., Cheow Y.L., Ting A.S.Y.","56519420800;57208596848;26634697700;26028469800;","Influence of metal stress on production of volatile inhibitory compounds by endophytes against Ganoderma boninense",2019,"Biocontrol Science and Technology","29","9",,"860","876",,,"10.1080/09583157.2019.1611735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065250138&doi=10.1080%2f09583157.2019.1611735&partnerID=40&md5=517c0d8a4a632895c0acfdb1e70e7deb","School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Faculty of Applied Sciences, Tunku Abdul Rahman University College, Kuala Lumpur, Malaysia","Sim, C.S.F., School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Yue, C.S., Faculty of Applied Sciences, Tunku Abdul Rahman University College, Kuala Lumpur, Malaysia; Cheow, Y.L., School of Science, Monash University Malaysia, Bandar Sunway, Malaysia; Ting, A.S.Y., School of Science, Monash University Malaysia, Bandar Sunway, Malaysia",Article,"Final",,Scopus,2-s2.0-85065250138
"Hoi S.M., Teh A.L., Ooi E.H., Chew I.M.L., Foo J.J.","57208665398;56725274500;14007532900;25927856100;55927919900;","Forced convective heat transfer optimization of plate-fin heat sink with insert-induced turbulence",2019,"Applied Thermal Engineering","160",, 114066,"","",,,"10.1016/j.applthermaleng.2019.114066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068366800&doi=10.1016%2fj.applthermaleng.2019.114066&partnerID=40&md5=a8ade7fa1b1433eb65f590f68832275b","School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia","Hoi, S.M., School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Teh, A.L., School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Ooi, E.H., School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Chew, I.M.L., School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia; Foo, J.J., School of Engineering, Monash University Malaysia, Bandar Sunway, Selangor  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85068366800
"Ang B.H., Chen W.S., Lee S.W.","57194243340;57188973057;35201185800;","The Malay Manchester Driver Behaviour Questionnaire: A cross-sectional study of geriatric population in Malaysia",2019,"Journal of Transport and Health","14",, 100573,"","",,,"10.1016/j.jth.2019.100573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066733524&doi=10.1016%2fj.jth.2019.100573&partnerID=40&md5=a10f82718d759b30ad97c26f8f57baa9","School of Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor  47500, Malaysia; Department of Statistics, Data Sciences and Epidemiology, School of Health Sciences, Swinburne University of Technology, Level 9. Internal Mail H24, P.O.Box 218, Hawthorn, Australia; School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor  47500, Malaysia; Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes, Health and Well-being Cluster, Global Asia in the 21st Century Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway47500, Malaysia; School of Pharmacy, Taylor's University Lakeside Campus, Jalan Taylors, Subang Jaya, Selangor  47500, Malaysia","Ang, B.H., School of Sciences, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor  47500, Malaysia; Chen, W.S., Department of Statistics, Data Sciences and Epidemiology, School of Health Sciences, Swinburne University of Technology, Level 9. Internal Mail H24, P.O.Box 218, Hawthorn, Australia; Lee, S.W., School of Pharmacy, Monash University Malaysia, Jalan Lagoon Selatan, Bandar SunwaySelangor  47500, Malaysia, Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes, Health and Well-being Cluster, Global Asia in the 21st Century Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway47500, Malaysia, School of Pharmacy, Taylor's University Lakeside Campus, Jalan Taylors, Subang Jaya, Selangor  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85066733524
"Ho M.C., Ong V.Z., Wu T.Y.","57208921762;57208920026;57192154872;","Potential use of alkaline hydrogen peroxide in lignocellulosic biomass pretreatment and valorization – A review",2019,"Renewable and Sustainable Energy Reviews",,,,"75","86",,1,"10.1016/j.rser.2019.04.082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066145642&doi=10.1016%2fj.rser.2019.04.082&partnerID=40&md5=0c477ab57be92c8fbec8c4b3209d1d0c","Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Monash-Industry Palm Oil Education and Research Platform (MIPO), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia","Ho, M.C., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Ong, V.Z., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Wu, T.Y., Chemical Engineering Discipline, School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Monash-Industry Palm Oil Education and Research Platform (MIPO), School of Engineering, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85066145642
"Mazumdar P., Pratama H., Lau S.-E., Teo C.H., Harikrishna J.A.","35362394500;57209738646;56358252900;16205351800;6507734036;","Biology, phytochemical profile and prospects for snake fruit: An antioxidant-rich fruit of South East Asia",2019,"Trends in Food Science and Technology","91",,,"147","158",,,"10.1016/j.tifs.2019.06.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068579401&doi=10.1016%2fj.tifs.2019.06.017&partnerID=40&md5=3c40cd64ee30cc6ccda0a0e12e6b73c6","Centre for Research in Biotechnology for Agriculture, University of Malaya, Kuala Lumpur, 50603, Malaysia; ECSE, School of Engineering, Monash University Malaysia, Bandar Sunway47500, Malaysia; Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia","Mazumdar, P., Centre for Research in Biotechnology for Agriculture, University of Malaya, Kuala Lumpur, 50603, Malaysia; Pratama, H., ECSE, School of Engineering, Monash University Malaysia, Bandar Sunway47500, Malaysia; Lau, S.-E., Centre for Research in Biotechnology for Agriculture, University of Malaya, Kuala Lumpur, 50603, Malaysia; Teo, C.H., Centre for Research in Biotechnology for Agriculture, University of Malaya, Kuala Lumpur, 50603, Malaysia; Harikrishna, J.A., Centre for Research in Biotechnology for Agriculture, University of Malaya, Kuala Lumpur, 50603, Malaysia, Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia",Review,"Final",,Scopus,2-s2.0-85068579401
"Leong S.L., Chaiyakunapruk N., Lee S.W.H.","57196073914;14015058100;35201185800;","Antineoplastic-related cardiovascular toxicity: A systematic review and meta-analysis in Asia",2019,"Critical Reviews in Oncology/Hematology","141",,,"95","101",,,"10.1016/j.critrevonc.2019.05.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068067002&doi=10.1016%2fj.critrevonc.2019.05.017&partnerID=40&md5=52d83a7386a9a5fa6bcba248ffcd6abd","School of Pharmacy, Monash University Malaysia, Selangor, Malaysia; Faculty of Pharmacy, Cyberjaya University College of Medical Sciences, Selangor, Malaysia; Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes (PICO), Health and Well-being Cluster, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Selangor, Malaysia; Center of Pharmaceutical Outcomes Research (CPOR), Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand; College of Pharmacy, Department of Pharmacotherapy, University of Utah, Salt lake city, UT, United States; School of Pharmacy, Taylor's University Lakeside Campus, Selangor, Malaysia","Leong, S.L., School of Pharmacy, Monash University Malaysia, Selangor, Malaysia, Faculty of Pharmacy, Cyberjaya University College of Medical Sciences, Selangor, Malaysia; Chaiyakunapruk, N., School of Pharmacy, Monash University Malaysia, Selangor, Malaysia, Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes (PICO), Health and Well-being Cluster, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Selangor, Malaysia, Center of Pharmaceutical Outcomes Research (CPOR), Department of Pharmacy Practice, Faculty of Pharmaceutical Sciences, Naresuan University, Phitsanulok, Thailand, College of Pharmacy, Department of Pharmacotherapy, University of Utah, Salt lake city, UT, United States; Lee, S.W.H., School of Pharmacy, Monash University Malaysia, Selangor, Malaysia, Asian Centre for Evidence Synthesis in Population, Implementation and Clinical Outcomes (PICO), Health and Well-being Cluster, Global Asia in the 21st Century (GA21) Platform, Monash University Malaysia, Selangor, Malaysia, School of Pharmacy, Taylor's University Lakeside Campus, Selangor, Malaysia",Review,"Final",,Scopus,2-s2.0-85068067002
"Alipour H., Towhidkhah F., Jafari S., Menon A., Namazi H.","57207107386;13907646200;55196116900;57207114135;55308641800;","Complexity-Based Analysis of the Relation between Fractal Visual Stimuli and Fractal Eye Movements",2019,"Fluctuation and Noise Letters","18","3", 1950012,"","",,1,"10.1142/S0219477519500123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062211704&doi=10.1142%2fS0219477519500123&partnerID=40&md5=75131b421a617a29450aafd4b12a88bd","Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; School of Engineering, Monash University, Selangor, Malaysia","Alipour, H., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Towhidkhah, F., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Jafari, S., Biomedical Engineering Department, Amirkabir University of Technology, Tehran, Iran; Menon, A., School of Engineering, Monash University, Selangor, Malaysia; Namazi, H., School of Engineering, Monash University, Selangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85062211704
"Saleem H., Zengin G., Locatelli M., Ahmad I., Khaliq S., Mahomoodally M.F., Hussain R., Rengasamy K.R.R., Mollica A., Zainal Abidin S.A., Ahemad N.","56735957200;8411629800;7005790232;56366368100;57209418438;9537009000;35195836600;57209281144;7003364903;57196456636;57201095217;","Pharmacological, phytochemical and in-vivo toxicological perspectives of a xero-halophyte medicinal plant: Zaleya pentandra (L.) Jeffrey",2019,"Food and Chemical Toxicology","131",, 110535,"","",,,"10.1016/j.fct.2019.05.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067661990&doi=10.1016%2fj.fct.2019.05.043&partnerID=40&md5=40c14fbaa014be4c7e8b233ec0cc14a0","School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, Pakistan; Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Department of Pharmacy, University ‘G. d'Annunzio” of Chieti-Pescara, Chieti, 66100, Italy; Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; University College of Veterinary and Animal Sciences, The Islamia University of Bahawalpur63100, Pakistan; Department of Bioresources and Food Science, Konkuk University, Seoul, 05029, South Korea; Liquid Chromatography Mass Spectrometery (LCMS) Platform, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor, Darul Ehsan  47500, Malaysia; Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, Darul Ehsan  47500, Malaysia","Saleem, H., School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Institute of Pharmaceutical Sciences (IPS), University of Veterinary & Animal Sciences (UVAS), Lahore, Pakistan; Zengin, G., Department of Biology, Faculty of Science, Selcuk University, Campus/Konya, Turkey; Locatelli, M., Department of Pharmacy, University ‘G. d'Annunzio” of Chieti-Pescara, Chieti, 66100, Italy; Ahmad, I., Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; Khaliq, S., Department of Pharmacy, The Islamia University of Bahawalpur, Pakistan; Mahomoodally, M.F., Department of Health Sciences, Faculty of Science, University of Mauritius, Mauritius; Hussain, R., University College of Veterinary and Animal Sciences, The Islamia University of Bahawalpur63100, Pakistan; Rengasamy, K.R.R., Department of Bioresources and Food Science, Konkuk University, Seoul, 05029, South Korea; Mollica, A., Department of Pharmacy, University ‘G. d'Annunzio” of Chieti-Pescara, Chieti, 66100, Italy; Zainal Abidin, S.A., Liquid Chromatography Mass Spectrometery (LCMS) Platform, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor, Darul Ehsan  47500, Malaysia; Ahemad, N., School of Pharmacy, Monash University, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia, Tropical Medicine and Biology Multidisciplinary Platform, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor, Darul Ehsan  47500, Malaysia",Article,"Final",,Scopus,2-s2.0-85067661990
"Teck K.S., Mac Guad R., Van Rostenberghe A.H., Hua G.S.","57210125002;57140785600;57210119667;57210117421;","Prevalence, risk factors and clinical characteristics of respiratory syncytial virus–associated lower respiratory tract infections in Kelantan, Malaysia",2019,"Journal of Medical Virology","91","9",,"1608","1615",,,"10.1002/jmv.25500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069525445&doi=10.1002%2fjmv.25500&partnerID=40&md5=910c56f490a64e86ff2b3c7b36a22bfd","Department of Medical Based Discipline, Faculty of Medicine and Health Science, Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Department of Biomedical Science and Therapeutics, Biomedical Science and Therapeutics, Faculty of Medicine and Health Science, Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Department of Peadiatrics, Division of Nephrology, Universiti Sains Malaysia, Pulau Pinang, Malaysia; School of Pharmacy, Monash University Malaysia, Selangor Darul Ehsan, Malaysia","Teck, K.S., Department of Medical Based Discipline, Faculty of Medicine and Health Science, Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Mac Guad, R., Department of Biomedical Science and Therapeutics, Biomedical Science and Therapeutics, Faculty of Medicine and Health Science, Universiti Malaysia Sabah, Kota Kinabalu, Sabah, Malaysia; Van Rostenberghe, A.H., Department of Peadiatrics, Division of Nephrology, Universiti Sains Malaysia, Pulau Pinang, Malaysia; Hua, G.S., School of Pharmacy, Monash University Malaysia, Selangor Darul Ehsan, Malaysia",Article,"Final",,Scopus,2-s2.0-85069525445
"Teh A.H.T., Lee S.M., Dykes G.A.","56027490200;55642472700;7004774617;","Growth in the presence of specific antibiotics induces biofilm formation by a Campylobacter jejuni strain sensitive to them but not in resistant strains",2019,"Journal of Global Antimicrobial Resistance","18",,,"55","58",,,"10.1016/j.jgar.2019.05.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067617913&doi=10.1016%2fj.jgar.2019.05.020&partnerID=40&md5=598d1ccc784a6767b60861d1a5e47691","School of Science, Monash University, Bandar Sunway, Malaysia; School of Public Health, Curtin University, Perth, Australia; Curtin Health Innovation Research Institute, Curtin University, Perth, Australia","Teh, A.H.T., School of Science, Monash University, Bandar Sunway, Malaysia; Lee, S.M., School of Science, Monash University, Bandar Sunway, Malaysia; Dykes, G.A., School of Public Health, Curtin University, Perth, Australia, Curtin Health Innovation Research Institute, Curtin University, Perth, Australia",Article,"Final",,Scopus,2-s2.0-85067617913
"Khoo K.S., Lee S.Y., Ooi C.W., Fu X., Miao X., Ling T.C., Show P.L.","57209198778;56938411800;57044293800;55463951200;7102585332;57203885878;47861451300;","Recent advances in biorefinery of astaxanthin from Haematococcus pluvialis",2019,"Bioresource Technology","288",, 121606,"","",,2,"10.1016/j.biortech.2019.121606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066799312&doi=10.1016%2fj.biortech.2019.121606&partnerID=40&md5=5554d984d450ca42bce778df3ff470ed","Department of Chemical and Environmental Engineering, Faculty of Science and Engineering, University of Nottingham Malaysia Campus, Jalan Broga, Semenyih, Selangor Darul Ehsan  43500, Malaysia; Department of Chemical Engineering, Lee Kong Chian Faculty of Engineering and Science, Universiti Tunku Abdul Rahman, Sungai Long Campus, Kajang, Selangor  43000, Malaysia; Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; College of Food Science & Engineering, Ocean University of China, Qingdao, 266000, China; State Key Laboratory of Microbial Metabolism and School of Life Sciences & Biotechnology, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai, 200240, China; Joint International Research Laboratory of Metabolic & Developmental Sciences, Shanghai Jiao Tong University, Shanghai, 200240, China; Biomass Energy Research Center, Shanghai Jiao Tong University, Shanghai, 200240, China; Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia","Khoo, K.S., Department of Chemical and Environmental Engineering, Faculty of Science and Engineering, University of Nottingham Malaysia Campus, Jalan Broga, Semenyih, Selangor Darul Ehsan  43500, Malaysia; Lee, S.Y., Department of Chemical Engineering, Lee Kong Chian Faculty of Engineering and Science, Universiti Tunku Abdul Rahman, Sungai Long Campus, Kajang, Selangor  43000, Malaysia; Ooi, C.W., Chemical Engineering Discipline, School of Engineering, Monash University Malaysia, Jalan Lagoon Selatan, Bandar Sunway, Selangor Darul Ehsan  47500, Malaysia; Fu, X., College of Food Science & Engineering, Ocean University of China, Qingdao, 266000, China; Miao, X., State Key Laboratory of Microbial Metabolism and School of Life Sciences & Biotechnology, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai, 200240, China, Joint International Research Laboratory of Metabolic & Developmental Sciences, Shanghai Jiao Tong University, Shanghai, 200240, China, Biomass Energy Research Center, Shanghai Jiao Tong University, Shanghai, 200240, China; Ling, T.C., Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, 50603, Malaysia; Show, P.L., Department of Chemical and Environmental Engineering, Faculty of Science and Engineering, University of Nottingham Malaysia Campus, Jalan Broga, Semenyih, Selangor Darul Ehsan  43500, Malaysia",Review,"Final",,Scopus,2-s2.0-85066799312
"Moriya S., Tan V.P., Yee A.K., Parhar I.S.","56572270700;57209304983;57209301216;7003913805;","pink1, atp13a2 and uchl1 expressions are affected by inflammation in the brain",2019,"Neuroscience Letters","708",, 134330,"","",,,"10.1016/j.neulet.2019.134330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067313439&doi=10.1016%2fj.neulet.2019.134330&partnerID=40&md5=23412efef0829ab05dda958c21c485d1","Brain Research Institute, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia","Moriya, S., Brain Research Institute, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Tan, V.P., Brain Research Institute, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Yee, A.K., Brain Research Institute, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia; Parhar, I.S., Brain Research Institute, Jeffrey Cheah School of Medicine and Health Sciences, Monash University Malaysia, Bandar Sunway, Selangor, Malaysia",Article,"Final",,Scopus,2-s2.0-85067313439
"Nguyen H.X., Nguyen V.T., Tran C.T., Nguyen A.T.Q., Nguyen-Thanh L., Bui A.T.K., Dultz S., Wu T.Y., Nguyen M.N.","57201375660;57200824758;57201385603;56023263500;55470706900;55798384600;6603016499;57192154872;57208519728;","Characterization and implication of phytolith-associated potassium in rice straw and paddy soils",2019,"Archives of Agronomy and Soil Science","65","10",,"1354","1369",,,"10.1080/03650340.2018.1564908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059914475&doi=10.1080%2f03650340.2018.1564908&partnerID=40&md5=933f098291897e75b5daf34eec1e7014","Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam; Faculty of Biology, Thai Nguyen University of Education, Thai Nguyen, Viet Nam; Institute of Applied Geosciences, Technical University Darmstadt, Darmstadt, Germany; Institute of Environmental Technology, Vietnam Academy of Science and Technology, Hanoi, Viet Nam; Institute of Soil Science, Leibniz Universität Hannover, Hannover, Germany; Chemical Engineering Discipline, School of Engineering, Monash University, Bandar Sunway, Malaysia","Nguyen, H.X., Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam; Nguyen, V.T., Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam; Tran, C.T., Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam; Nguyen, A.T.Q., Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam, Faculty of Biology, Thai Nguyen University of Education, Thai Nguyen, Viet Nam; Nguyen-Thanh, L., Institute of Applied Geosciences, Technical University Darmstadt, Darmstadt, Germany; Bui, A.T.K., Institute of Environmental Technology, Vietnam Academy of Science and Technology, Hanoi, Viet Nam; Dultz, S., Institute of Soil Science, Leibniz Universität Hannover, Hannover, Germany; Wu, T.Y., Chemical Engineering Discipline, School of Engineering, Monash University, Bandar Sunway, Malaysia; Nguyen, M.N., Faculty of Environmental Science, VNU University of Science, Vietnam National University, Hanoi, Viet Nam",Article,"Final",,Scopus,2-s2.0-85059914475
"Pradhan R.P., Arvin M.B., Nair M., Bennett S.E.","24491031600;6603579845;7202870882;56973310600;","Inter-linkages between competition and stabilisation policies in the banking sector and stock market development in Europe",2019,"Applied Economics","51","39",,"4313","4324",,,"10.1080/00036846.2019.1591603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063455696&doi=10.1080%2f00036846.2019.1591603&partnerID=40&md5=3223ccb69b58eb1d150e1190d6fba314","Vinod Gupta School of Management, Indian Institute of Technology, Kharagpur, India; Department of Economics, Trent University, Peterborough, Canada; School of Business and Global Asia in the 21st Century (GA21) Research Platform, Monash University Malaysia, Jalan Lagoon Selatan, Malaysia; College of Business, University of Lynchburg, Lynchburg, VA, United States","Pradhan, R.P., Vinod Gupta School of Management, Indian Institute of Technology, Kharagpur, India; Arvin, M.B., Department of Economics, Trent University, Peterborough, Canada; Nair, M., School of Business and Global Asia in the 21st Century (GA21) Research Platform, Monash University Malaysia, Jalan Lagoon Selatan, Malaysia; Bennett, S.E., College of Business, University of Lynchburg, Lynchburg, VA, United States",Article,"Final",,Scopus,2-s2.0-85063455696
